Company Name,Address,City,State,County,Employee Count,Annual Sales,Industry,Zip1
Planet Fitness,29685 Renaissance Blvd,Daphne,AL,Baldwin,1 To 10,"Less Than $500,000",Physical Fitness Facilities,36526
Ymca,951 Downtowner Blvd,Mobile,AL,Mobile,10 To 19,Unknown,Fitness & Recreational Sports Centers,36609
Personal Edge Fitness,513 W I65 Service Rd N,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Physical Fitness Facilities,36608
Health Plus Fitness Ctr,1171 Gatewood Dr Bldg 101,Auburn,AL,Lee,50 To 99,$1 To 2.5 Million,Physical Fitness Facilities,36830
Enterprise Club,707 Boll Weevil Cir # B,Enterprise,AL,Coffee,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36330
Gold's Gym,189 E University Dr,Auburn,AL,Lee,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,36832
Taekwondo Plus,3539 Greenview Ave,Rainbow City,AL,Etowah,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35906
Planet Fitness,140 Wildwood Pkwy,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35209
Workout Anytime,7480 Parkway Dr,Leeds,AL,Jefferson,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35094
Better Body Fitness,1000 Lakeside Dr,Mc Calla,AL,Jefferson,1 To 10,"Less Than $500,000",Personal Trainers-Fitness,35111
Ultimate Fitness,5786 Us Highway 11,Springville,AL,Saint Clair,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35146
Flex Fitness,1847 Crestwood Blvd,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35210
Spartan Fitness,430 Green Springs Hwy Ste 5,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Personal Trainers-Fitness,35209
Life Time Fitness,3051 Healthy Way,Vestavia,AL,Jefferson,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35243
Women's Fitness,200 Montgomery Hwy,Vestavia Hills,AL,Jefferson,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35216
Forge Fitness,2112 Columbiana Rd,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35216
Iron Tribe Fitness,1581 Montgomery Hwy,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35216
Curves,1422 Beauty Cir,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,35214
Total Fitness Consultants,2833 Culver Rd,Mountain Brk,AL,Jefferson,1 To 10,"Less Than $500,000",Personal Trainers-Fitness,35223
Spa Ladonna,1612 Beltline Rd Sw,Decatur,AL,Morgan,1 To 10,"Less Than $500,000",Health Spas,35601
